period_end,age_group,value
2019-04-30,0 to 4,595.0
2019-04-30,18 to 24,5065.0
2019-04-30,25+,9435.0
2019-04-30,5 to 17,15615.0
2019-04-30,Unknown,20.0
2019-05-31,0 to 4,645.0
2019-05-31,18 to 24,5335.0
2019-05-31,25+,10060.0
2019-05-31,5 to 17,17205.0
2019-05-31,Unknown,0.0
2019-06-30,0 to 4,705.0
2019-06-30,18 to 24,5755.0
2019-06-30,25+,10900.0
2019-06-30,5 to 17,18700.0
2019-06-30,Unknown,0.0
2019-07-31,0 to 4,745.0
2019-07-31,18 to 24,6380.0
2019-07-31,25+,11860.0
2019-07-31,5 to 17,20705.0
2019-07-31,Unknown,0.0
2019-08-31,0 to 4,720.0
2019-08-31,18 to 24,6520.0
2019-08-31,25+,12180.0
2019-08-31,5 to 17,20390.0
2019-08-31,Unknown,5.0
2019-09-30,0 to 4,765.0
2019-09-30,18 to 24,7210.0
2019-09-30,25+,13385.0
2019-09-30,5 to 17,21745.0
2019-09-30,Unknown,10.0
2019-10-31,0 to 4,765.0
2019-10-31,18 to 24,7695.0
2019-10-31,25+,14540.0
2019-10-31,5 to 17,24050.0
2019-10-31,Unknown,10.0
2019-11-30,0 to 4,840.0
2019-11-30,18 to 24,8260.0
2019-11-30,25+,15595.0
2019-11-30,5 to 17,25630.0
2019-11-30,Unknown,10.0
2019-12-31,0 to 4,875.0
2019-12-31,18 to 24,8505.0
2019-12-31,25+,16005.0
2019-12-31,5 to 17,26515.0
2019-12-31,Unknown,10.0
2020-01-31,0 to 4,890.0
2020-01-31,18 to 24,8790.0
2020-01-31,25+,16525.0
2020-01-31,5 to 17,27790.0
2020-01-31,Unknown,10.0
2020-02-29,0 to 4,920.0
2020-02-29,18 to 24,9040.0
2020-02-29,25+,16990.0
2020-02-29,5 to 17,28720.0
2020-02-29,Unknown,10.0
2020-03-31,0 to 4,945.0
2020-03-31,18 to 24,9235.0
2020-03-31,25+,17245.0
2020-03-31,5 to 17,29320.0
2020-03-31,Unknown,10.0
2020-04-30,0 to 4,945.0
2020-04-30,18 to 24,10350.0
2020-04-30,25+,19105.0
2020-04-30,5 to 17,30530.0
2020-04-30,Unknown,5.0
2020-05-31,0 to 4,960.0
2020-05-31,18 to 24,10320.0
2020-05-31,25+,19215.0
2020-05-31,5 to 17,30915.0
2020-05-31,Unknown,5.0
2020-06-30,0 to 4,1205.0
2020-06-30,18 to 24,10430.0
2020-06-30,25+,19460.0
2020-06-30,5 to 17,32735.0
2020-06-30,Unknown,5.0
2020-07-31,0 to 4,1310.0
2020-07-31,18 to 24,10850.0
2020-07-31,25+,20330.0
2020-07-31,5 to 17,35090.0
2020-07-31,Unknown,10.0
2020-08-31,0 to 4,1030.0
2020-08-31,18 to 24,11020.0
2020-08-31,25+,20825.0
2020-08-31,5 to 17,33275.0
2020-08-31,Unknown,10.0
2020-09-30,0 to 4,1025.0
2020-09-30,18 to 24,11560.0
2020-09-30,25+,21845.0
2020-09-30,5 to 17,34905.0
2020-09-30,Unknown,5.0
2020-10-31,0 to 4,1275.0
2020-10-31,18 to 24,11965.0
2020-10-31,25+,22210.0
2020-10-31,5 to 17,36590.0
2020-10-31,Unknown,5.0
2020-11-30,0 to 4,1315.0
2020-11-30,18 to 24,12560.0
2020-11-30,25+,22920.0
2020-11-30,5 to 17,37875.0
2020-11-30,Unknown,15.0
2020-12-31,0 to 4,1300.0
2020-12-31,18 to 24,12715.0
2020-12-31,25+,23020.0
2020-12-31,5 to 17,38570.0
2020-12-31,Unknown,15.0
2021-01-31,0 to 4,1395.0
2021-01-31,18 to 24,13320.0
2021-01-31,25+,23790.0
2021-01-31,5 to 17,39630.0
2021-01-31,Unknown,15.0
2021-02-28,0 to 4,1405.0
2021-02-28,18 to 24,13960.0
2021-02-28,25+,24460.0
2021-02-28,5 to 17,40030.0
2021-02-28,Unknown,15.0
2021-03-31,0 to 4,1420.0
2021-03-31,18 to 24,14590.0
2021-03-31,25+,25440.0
2021-03-31,5 to 17,41115.0
2021-03-31,Unknown,25.0
2021-04-30,0 to 4,1445.0
2021-04-30,18 to 24,15085.0
2021-04-30,25+,26315.0
2021-04-30,5 to 17,42040.0
2021-04-30,Unknown,25.0
2021-05-31,0 to 4,1495.0
2021-05-31,18 to 24,15570.0
2021-05-31,25+,26985.0
