period_end,total_referrals,abs_change,pct_change,ma_3,year,month,time_index,predicted_referrals
2023-03-31,209540.0,9840.0,4.92739108662994,199675.0,2023,3,47,173426.39222941725
2023-04-30,222040.0,12500.0,5.965448124463113,210426.66666666666,2023,4,48,176710.60360777064
2023-05-31,231575.0,9535.0,4.294271302468022,221051.66666666666,2023,5,49,179994.814986124
2023-06-30,238490.0,6915.0,2.9860736262550036,230701.66666666666,2023,6,50,183279.02636447738
2023-07-31,247640.0,9150.0,3.8366388527820927,239235.0,2023,7,51,186563.23774283077
2023-08-31,253740.0,6100.0,2.4632531093522925,246623.33333333334,2023,8,52,189847.44912118415
2023-09-30,261975.0,8235.0,3.2454480964767107,254451.66666666666,2023,9,53,193131.6604995375
2023-10-31,270715.0,8740.0,3.336196201927666,262143.33333333334,2023,10,54,196415.8718778909
2023-11-30,280625.0,9910.0,3.660676357054471,271105.0,2023,11,55,199700.08325624428
2023-12-31,284820.0,4195.0,1.4948775055679375,278720.0,2023,12,56,202984.29463459764
2024-01-31,290600.0,5780.0,2.0293518713573544,285348.3333333333,2024,1,57,206268.50601295102
2024-02-29,293900.0,3300.0,1.1355815554026094,289773.3333333333,2024,2,58,209552.7173913044
