period_end,total_referrals,abs_change,pct_change,ma_3,year,month,time_index,predicted_referrals
2019-04-30,30730.0,,,,2019,4,0,-30.499999999978172
2019-05-31,33245.0,2515.0,8.184184835665476,,2019,5,1,4372.720046756304
2019-06-30,36060.0,2815.0,8.467438712588349,33345.0,2019,6,2,8775.940093512587
2019-07-31,39690.0,3630.0,10.066555740432603,36331.666666666664,2019,7,3,13179.160140268868
2019-08-31,39815.0,125.0,0.3149407911312574,38521.666666666664,2019,8,4,17582.380187025152
2019-09-30,43115.0,3300.0,8.288333542634696,40873.333333333336,2019,9,5,21985.600233781435
2019-10-31,47060.0,3945.0,9.14994781398586,43330.0,2019,10,6,26388.820280537715
2019-11-30,50335.0,3275.0,6.9592010199744925,46836.666666666664,2019,11,7,30792.040327294
2019-12-31,51910.0,1575.0,3.129035462401908,49768.333333333336,2019,12,8,35195.26037405028
2020-01-31,54005.0,2095.0,4.0358312463879775,52083.333333333336,2020,1,9,39598.48042080656
2020-02-29,55680.0,1675.0,3.1015646699379618,53865.0,2020,2,10,44001.70046756285
2020-03-31,56755.0,1075.0,1.9306752873563315,55480.0,2020,3,11,48404.92051431913
2020-04-30,60935.0,4180.0,7.36498986873404,57790.0,2020,4,12,52808.14056107541
2020-05-31,61415.0,480.0,0.7877246245999725,59701.666666666664,2020,5,13,57211.360607831695
2020-06-30,63835.0,2420.0,3.94040543841081,62061.666666666664,2020,6,14,61614.580654587975
2020-07-31,67590.0,3755.0,5.882352941176472,64280.0,2020,7,15,66017.80070134427
2020-08-31,66160.0,-1430.0,-2.1156975884006557,65861.66666666667,2020,8,16,70421.02074810053
2020-09-30,69340.0,3180.0,4.806529625151157,67696.66666666667,2020,9,17,74824.24079485683
2020-10-31,72045.0,2705.0,3.901067205076436,69181.66666666667,2020,10,18,79227.4608416131
2020-11-30,74685.0,2640.0,3.664376431397054,72023.33333333333,2020,11,19,83630.68088836939
2020-12-31,75620.0,935.0,1.25192475061926,74116.66666666667,2020,12,20,88033.90093512568
2021-01-31,78150.0,2530.0,3.345675747156829,76151.66666666667,2021,1,21,92437.12098188195
2021-02-28,79870.0,1720.0,2.20089571337172,77880.0,2021,2,22,96840.34102863824
2021-03-31,82590.0,2720.0,3.4055339927381967,80203.33333333333,2021,3,23,101243.56107539451
2021-04-30,84910.0,2320.0,2.8090567865358906,82456.66666666667,2021,4,24,105646.7811221508
2021-05-31,87675.0,2765.0,3.2563891178895243,85058.33333333333,2021,5,25,110050.0011689071
2021-06-30,90840.0,3165.0,3.6099230111206193,87808.33333333333,2021,6,26,114453.22121566336
2021-07-31,93535.0,2695.0,2.966754733597532,90683.33333333333,2021,7,27,118856.44126241966
2021-08-31,95755.0,2220.0,2.373443096167205,93376.66666666667,2021,8,28,123259.66130917592
2021-09-30,98040.0,2285.0,2.386298365620587,95776.66666666667,2021,9,29,127662.88135593222
2021-10-31,105040.0,7000.0,7.139942880456962,99611.66666666667,2021,10,30,132066.1014026885
2021-11-30,108900.0,3860.0,3.6747905559786798,103993.33333333333,2021,11,31,136469.32144944477
2021-12-31,112620.0,3720.0,3.4159779614325148,108853.33333333333,2021,12,32,140872.54149620107
2022-01-31,116365.0,3745.0,3.325341857574138,112628.33333333333,2022,1,33,145275.76154295736
2022-02-28,121820.0,5455.0,4.6878356894255235,116935.0,2022,2,34,149678.98158971363
2022-03-31,126510.0,4690.0,3.8499425381710806,121565.0,2022,3,35,154082.20163646992
2022-04-30,141450.0,14940.0,11.80934313493005,129926.66666666667,2022,4,36,158485.4216832262
2022-05-31,146950.0,5500.0,3.8882997525627516,138303.33333333334,2022,5,37,162888.64172998248
2022-06-30,148925.0,1975.0,1.3439945559714284,145775.0,2022,6,38,167291.86177673878
2022-07-31,154195.0,5270.0,3.538693973476592,150023.33333333334,2022,7,39,171695.08182349504
2022-08-31,154200.0,5.0,0.0032426472972524323,152440.0,2022,8,40,176098.30187025134
2022-09-30,160135.0,5935.0,3.848897535667972,156176.66666666666,2022,9,41,180501.5219170076
2022-10-31,165140.0,5005.0,3.125487869610022,159825.0,2022,10,42,184904.7419637639
2022-11-30,173135.0,7995.0,4.841346736102703,166136.66666666666,2022,11,43,189307.9620105202
2022-12-31,180190.0,7055.0,4.074854882028478,172821.66666666666,2022,12,44,193711.18205727646
2023-01-31,189785.0,9595.0,5.3249347910538924,181036.66666666666,2023,1,45,198114.40210403275
2023-02-28,199700.0,9915.0,5.2243327976394305,189891.66666666666,2023,2,46,202517.62215078901
2023-03-31,209540.0,9840.0,4.92739108662994,199675.0,2023,3,47,206920.8421975453
2023-04-30,222040.0,12500.0,5.965448124463113,210426.66666666666,2023,4,48,211324.06224430157
2023-05-31,231575.0,9535.0,4.294271302468022,221051.66666666666,2023,5,49,215727.28229105787
2023-06-30,238490.0,6915.0,2.9860736262550036,230701.66666666666,2023,6,50,220130.50233781416
2023-07-31,247640.0,9150.0,3.8366388527820927,239235.0,2023,7,51,224533.72238457043
2023-08-31,253740.0,6100.0,2.4632531093522925,246623.33333333334,2023,8,52,228936.94243132672
2023-09-30,261975.0,8235.0,3.2454480964767107,254451.66666666666,2023,9,53,233340.162478083
2023-10-31,270715.0,8740.0,3.336196201927666,262143.33333333334,2023,10,54,237743.38252483928
2023-11-30,280625.0,9910.0,3.660676357054471,271105.0,2023,11,55,242146.60257159558
2023-12-31,284820.0,4195.0,1.4948775055679375,278720.0,2023,12,56,246549.82261835184
2024-01-31,290600.0,5780.0,2.0293518713573544,285348.3333333333,2024,1,57,250953.04266510814
2024-02-29,293900.0,3300.0,1.1355815554026094,289773.3333333333,2024,2,58,255356.2627118644
