period_end,value_total,value_52plus,prop_52plus,time_index
2019-04-30,30730.0,1470.0,0.04783599088838269,0
2019-05-31,33245.0,3155.0,0.09490148894570612,1
2019-06-30,36060.0,4810.0,0.1333887964503605,2
2019-07-31,39690.0,6565.0,0.1654069035021416,3
2019-08-31,39815.0,7570.0,0.1901293482355896,4
2019-09-30,43115.0,9145.0,0.21210715528238433,5
2019-10-31,47060.0,11105.0,0.2359753506162346,6
2019-11-30,50335.0,12980.0,0.2578722558855667,7
2019-12-31,51910.0,14835.0,0.285783086110576,8
2020-01-31,54005.0,16745.0,0.3100638829737987,9
2020-02-29,55680.0,18525.0,0.33270474137931033,10
2020-03-31,56755.0,20385.0,0.35917540304818957,11
2020-04-30,60935.0,23010.0,0.3776154919176171,12
2020-05-31,61415.0,24495.0,0.3988439306358382,13
2020-06-30,63835.0,26445.0,0.4142711678546252,14
2020-07-31,67590.0,29035.0,0.4295753809735168,15
2020-08-31,66160.0,29645.0,0.44808041112454655,16
2020-09-30,69340.0,31990.0,0.461349870204788,17
2020-10-31,72045.0,34140.0,0.47387049760566313,18
2020-11-30,74685.0,35770.0,0.4789449019214032,19
2020-12-31,75620.0,36865.0,0.48750330600370273,20
2021-01-31,78150.0,39040.0,0.4995521433141395,21
2021-02-28,79870.0,40500.0,0.5070739952422687,22
2021-03-31,82590.0,41435.0,0.5016951204746337,23
2021-04-30,84910.0,41625.0,0.49022494405841477,24
2021-05-31,87675.0,42780.0,0.4879384088964927,25
2021-06-30,90840.0,43665.0,0.4806803170409511,26
2021-07-31,93535.0,44890.0,0.4799272999411985,27
2021-08-31,95755.0,45135.0,0.4713591979531095,28
2021-09-30,98040.0,45760.0,0.46674826601387187,29
2021-10-31,105040.0,48960.0,0.4661081492764661,30
2021-11-30,108900.0,49855.0,0.4578053259871442,31
2021-12-31,112620.0,51360.0,0.4560468833244539,32
2022-01-31,116365.0,52550.0,0.45159627035620675,33
2022-02-28,121820.0,53870.0,0.442209817763914,34
2022-03-31,126510.0,55700.0,0.44028140067978816,35
2022-04-30,141450.0,58990.0,0.41703782255213856,36
2022-05-31,146950.0,61045.0,0.41541340592038106,37
2022-06-30,148925.0,62515.0,0.41977505455766323,38
2022-07-31,154195.0,65760.0,0.4264729725347774,39
2022-08-31,154200.0,64835.0,0.4204604409857328,40
2022-09-30,160135.0,67080.0,0.41889655603084897,41
2022-10-31,165140.0,69745.0,0.4223386217754632,42
2022-11-30,173135.0,73835.0,0.4264591214947873,43
2022-12-31,180190.0,77800.0,0.43176646872745433,44
2023-01-31,189785.0,81310.0,0.4284321732486761,45
2023-02-28,199700.0,87360.0,0.43745618427641464,46
2023-03-31,209540.0,92380.0,0.44087047819032166,47
2023-04-30,222040.0,97820.0,0.44055125202666184,48
2023-05-31,231575.0,102870.0,0.4442189355500378,49
2023-06-30,238490.0,106380.0,0.4460564384250912,50
2023-07-31,247640.0,112200.0,0.4530770473267647,51
2023-08-31,253740.0,115905.0,0.45678647434381653,52
2023-09-30,261975.0,120860.0,0.46134173108121,53
2023-10-31,270715.0,126660.0,0.46787211643241045,54
2023-11-30,280625.0,134865.0,0.4805879732739421,55
2023-12-31,284820.0,140435.0,0.49306579594129624,56
2024-01-31,290600.0,146830.0,0.505264969029594,57
2024-02-29,293900.0,152190.0,0.5178291936032664,58
